Name,NA,EU,JP,Other
Colin McRae Rally,0.09,2.43,0.12,0.22
Call of Duty: Ghosts,1.87,0.77,0,0.22
Madden NFL 13,2.53,0.16,0,0.17
The Elder Scrolls III: Morrowind,2.09,0.63,0.03,0.11
Mortal Kombat,1.98,0.55,0,0.32
F-Zero,1.37,0.51,0.89,0.07
Yoshi's Story,1.29,0.53,0.98,0.05
Command & Conquer: Red Alert,1.37,1.34,0,0.14
Skylanders: Spyro's Adventure,1.4,1.14,0,0.31
FIFA 16,0.4,1.98,0.05,0.42
Assassin's Creed: Brotherhood,1.87,0.57,0.11,0.3
BioShock,1.65,0.86,0.05,0.28
Madden NFL 10,2.52,0.09,0,0.22
Medal of Honor,1.28,1.05,0.07,0.43
WWE SmackDown! vs. Raw,1.32,1.08,0.04,0.39
Metroid Prime,1.96,0.67,0.1,0.09
Finding Nemo,1.59,1.05,0.04,0.14
Myst,0.02,2.79,0,0
Need for Speed: Hot Pursuit,1.05,1.25,0.03,0.48
Imagine: Fashion Designer,1.32,1.19,0,0.3
WWE SmackDown! Here Comes the Pain,1.32,1.06,0.04,0.38
Star Wars: The Force Unleashed,1.74,0.8,0,0.26
Yoshi's Island DS,1.47,0.07,1.1,0.15
Hot Shots Golf,0.29,0.2,2.13,0.18
Killzone 3,1.45,0.88,0.09,0.38
A Bug's Life,1.96,0.72,0,0.11
WWF SmackDown! Just Bring It,1.19,1.15,0.04,0.41
Dragon Quest V: Tenkuu no Hanayome,0,0,2.78,0.01
Mortal Kombat Trilogy,1.98,0.7,0,0.11
Battlefield 3,0.89,1.43,0,0.48
NBA Street,2.19,0.22,0,0.38
Professor Layton and the Last Specter,0.3,1.47,0.68,0.34
Monster Hunter Tri,0.46,0.29,1.96,0.07
Jak II,1.68,0.74,0,0.36
inFAMOUS: Second Son,1.27,0.97,0.07,0.47
Ratchet & Clank: Going Commando,1.44,0.83,0.26,0.25
Tekken 6,1.2,0.98,0.17,0.43
The Sims,1.41,1.12,0,0.24
Sonic and the Secret Rings,1.24,1.2,0.04,0.3
Saints Row: The Third,1.25,1.15,0.07,0.3
Missile Command,2.56,0.17,0,0.03
Mario Paint,1.43,0.54,0.71,0.07
Assassin's Creed IV: Black Flag,1.07,1.31,0.06,0.31
Pokémon Stadium 2,1.02,0.36,1.13,0.23
Metroid,1.33,0.31,1.04,0.05
L.A. Noire,1.52,0.94,0.02,0.24
Call of Duty 3,1.49,0.93,0.02,0.27
The Legend of Zelda: A Link to the Past,1.75,0.52,0.33,0.1
Onimusha: Warlords,0.99,0.48,1.09,0.14
Mortal Kombat X,1.47,0.76,0,0.47
Mario Party,1.25,0.53,0.87,0.05
Madden NFL 12,2.42,0.11,0,0.16
LEGO Star Wars II: The Original Trilogy,1.85,0.64,0.01,0.19
Madden NFL 11,2.38,0.12,0,0.18
Mario vs. Donkey Kong: Mini-Land Mayhem!,1.63,0.52,0.35,0.18
Skate 3,1.46,0.98,0,0.24
Burnout 3: Takedown,1.23,1.11,0,0.34
Yokai Watch 2 Shinuchi,0,0,2.68,0
Need for Speed: Shift,0.69,1.41,0.04,0.53
Final Fantasy XIII-2,0.78,0.75,0.89,0.26
Mortal Kombat,1.95,0.63,0,0.09
Call Of Duty 2: Big Red One,1.48,0.92,0.01,0.26
Guitar Hero: World Tour,1.78,0.64,0,0.25
Medal of Honor,1.44,1.09,0,0.14
Fable,1.99,0.58,0,0.09
Hannah Montana,1.59,0.8,0,0.26
Tom Clancy's Splinter Cell,1.15,1.11,0,0.4
Skylanders Giants,1.56,0.88,0,0.22
Medal of Honor Heroes,0.86,1.11,0.01,0.66
Super Mario Bros.: The Lost Levels,0,0,2.65,0
Star Wars: Shadows of the Empire,2,0.5,0.12,0.03
LEGO Star Wars: The Complete Saga,1.53,0.87,0,0.24
Midnight Club: Street Racing,2,0.47,0.02,0.14
Pac-Man: Adventures in Time,0.76,1.1,0.12,0.65
Halo Wars,1.53,0.82,0.04,0.24
God of War Collection,1.7,0.46,0.06,0.41
ESPN NFL 2K5,2.15,0.12,0,0.36
Mario Strikers Charged,1.07,1.06,0.24,0.25
Medal of Honor,1.55,0.81,0.04,0.21
FIFA Soccer 10,0.59,1.79,0.01,0.23
NBA 2K12,2.31,0.14,0.01,0.16
Style Savvy,0.63,0.84,0.96,0.19
Harry Potter and the Chamber of Secrets,0.9,1.22,0.04,0.44
Super Mario All-Stars: Limited Edition,1.02,0.52,0.92,0.14
Streets of Rage,1.86,0.55,0.11,0.08
FIFA Soccer 09,0.48,1.63,0.04,0.43
Ratchet & Clank Future: Tools of Destruction,0.93,1.12,0.08,0.45
NBA Live 2005,2.03,0.21,0,0.35
LittleBigPlanet,0.64,1.24,0.01,0.69
Killzone: Shadow Fall,0.89,1.33,0.07,0.28
Ghostbusters: The Video Game (DS Version),1.04,1.24,0.03,0.27
Monster Hunter Freedom 2,0.37,0.27,1.75,0.18
WWE SmackDown vs. RAW 2007,1.4,0.88,0.03,0.26
Ratchet & Clank: Up Your Arsenal,1.31,0.74,0.31,0.22
Art Academy,0.28,1.68,0.33,0.28
Dragon Age: Origins,1.76,0.56,0.03,0.22
Madden NFL 08,2.14,0.08,0,0.35
Sonic Adventure 2 Battle,1.7,0.59,0.21,0.07
Dragon Warrior II,0.15,0,2.41,0
Madden NFL 13,2.11,0.23,0,0.22
Pokémon Colosseum,1.21,0.57,0.7,0.07
Deca Sports,1.13,0.87,0.29,0.25
Madden NFL 09,2.21,0.12,0,0.2
Space Invaders,2.36,0.14,0,0.03
Crazy Taxi,1.13,1.12,0.06,0.22
Perfect Dark,1.55,0.75,0.16,0.06
Game Party,1.5,0.78,0,0.24
Dragon Warrior,0.49,0,0.52,1.51
Tomb Raider (2013),0.6,1.31,0.08,0.52
Marvel: Ultimate Alliance,2.29,0.02,0,0.19
PES 2009: Pro Evolution Soccer,0.13,0.07,0.26,2.05
Mario Party 2,1.28,0.14,1.08,0.01
Saints Row: The Third,0.86,1.06,0.18,0.39
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,1.84,0.56,0,0.09
LEGO Harry Potter: Years 1-4,1.29,0.97,0,0.23
Mortal Kombat: Deadly Alliance,1.81,0.52,0,0.15
Resistance 2,1.15,0.85,0.1,0.39
Pure,1.38,0.85,0,0.25
Tomb Raider: The Last Revelation,1.15,1.14,0.06,0.13
NBA 2K13,1.72,0.44,0.05,0.27
Rock Band,1.93,0.34,0,0.21
NBA 2K14,2.1,0.2,0,0.17
Mario Party 4,1.13,0.36,0.92,0.07
uDraw Studio,1.67,0.58,0,0.2
Midnight Club: Los Angeles,1.55,0.54,0.05,0.31
Final Fantasy V,0,0,2.43,0.02
Final Fantasy Tactics,0.93,0.12,1.34,0.06
Twisted Metal 2,2.12,0.25,0,0.07
Halo: Combat Evolved Anniversary,1.44,0.73,0.04,0.22
Need for Speed Carbon: Own the City,0.87,0.98,0,0.59
The Sims: Bustin' Out,1.07,1.19,0,0.18
Riven: The Sequel to Myst,1.52,0.82,0,0.1
Tom Clancy's Rainbow Six: Vegas 2,1.56,0.61,0.02,0.23
Sonic Adventure,1.26,0.61,0.46,0.08
Ice Hockey,1.27,0.32,0.78,0.05
pro evolution soccer 2011,0.29,1.18,0.54,0.41
Dragon Ball Z: Budokai 2,1.63,0.22,0.51,0.06
ATV Offroad Fury,2.07,0.26,0,0.08
Dino Crisis,0.81,0.76,0.7,0.14
Minecraft,1.43,0.76,0,0.22
Need for Speed: ProStreet,0.69,0,0.04,1.68
Madden NFL 16,2.07,0.08,0,0.26
Tetris Plus,2.1,0.24,0,0.07
Pro Wrestling,0.77,0.18,1.42,0.03
Theme Hospital,2.3,0.1,0,0
Frogger's Adventures: Temple of the Frog,2.15,0.18,0,0.07
Need for Speed (2015),0.49,1.49,0.05,0.36
Zumba Fitness,1.74,0.48,0,0.18
LEGO Indiana Jones: The Original Adventures,1.54,0.63,0,0.22
Monopoly,1.49,0.81,0,0.1
Batman: Arkham Origins,1.07,0.87,0.04,0.4
Dead Island,1.48,0.71,0,0.2
Guitar Hero,1.67,0.61,0.03,0.07
LEGO Star Wars: The Complete Saga,1.02,0.97,0,0.39
Kinect: Disneyland Adventures,1.73,0.46,0.02,0.18
WCW/nWo Revenge,1.94,0.39,0.03,0.02
Bloodborne,1,0.76,0.26,0.36
NBA 2K15,1.46,0.54,0.01,0.37
Madden NFL 11,2.04,0.15,0,0.19
Yu-Gi-Oh! The Duelists of the Roses,1.16,0.91,0,0.3
Madden NFL 08,2.18,0.01,0,0.18
Half-Life 2,2.28,0.02,0.08,0
The Incredibles,0.96,1.08,0.04,0.3
Tony Hawk's Underground 2,1.25,0.86,0.01,0.26
Madden NFL 10,2.03,0.13,0,0.21
Kinect Sports: Season Two,1.38,0.74,0.02,0.22
Kirby's Dream Land 2,0.69,0.14,1.48,0.05
LEGO Harry Potter: Years 1-4,1.07,1.05,0,0.23
Donkey Kong Land II,1.39,0.48,0.4,0.08
Dragon Warrior Monsters,0,0,2.34,0.01
Midnight Club: Los Angeles,1.68,0.46,0.01,0.2
Skylanders SWAP Force,1.32,0.83,0,0.2
WWE SmackDown vs Raw 2008,0.92,0,0.01,1.41
My Fitness Coach,1.2,0.9,0,0.24
Resident Evil - Code: Veronica X,1.08,0.7,0.34,0.21
The Sims 3,1.27,0.86,0,0.2
The Legend of Zelda: Majora's Mask 3D,1.14,0.54,0.47,0.17
NBA 2K16,1.93,0.14,0,0.24
Just Dance Kids,1.57,0.56,0,0.19
Mario Tennis,0.78,0.4,1.06,0.07
Grand Theft Auto,0.79,1.35,0.04,0.14
James Bond 007: Everything or Nothing,0.85,1.06,0.09,0.32
WarioWare Touched!,0.52,0.45,1.21,0.13
Need For Speed: High Stakes,1.58,0.64,0,0.09
Chrono Trigger,0.28,0,2.02,0.01
Cool Boarders 3,1.65,0.46,0.1,0.1
LEGO Marvel Super Heroes,1.24,0.85,0,0.21
Guild Wars 2,0.95,1.06,0,0.29
Pokemon Ranger: Shadows of Almia,0.95,0.54,0.62,0.18
Dead Island,1.08,0.75,0.15,0.31
Tomb Raider II,0.91,1.25,0,0.13
God of War: Ascension,1.23,0.68,0.04,0.34
Need for Speed Underground 2,1.38,0.8,0,0.1
Pro Evolution Soccer 2010,0.3,1.27,0.46,0.26
Just Dance 2015,1.11,0.98,0,0.2
Yokai Watch Busters,0,0,2.28,0
Mario Bros.,0.51,0.12,1.63,0.02
FIFA Soccer 09,0.38,0.07,0.01,1.82
Star Wars: The Force Unleashed,1.01,0.9,0,0.37
Borderlands 2,1.05,0.77,0.1,0.36
TOCA Touring Car Championship,0.07,2,0.02,0.18
Paper Mario: Sticker Star,1.12,0.39,0.64,0.12
Sonic's Ultimate Genesis Collection,1.34,0.62,0,0.31
Super Monkey Ball: Banana Blitz,1.07,0.92,0.04,0.24
Kirby: Nightmare in Dream Land,1.22,0.1,0.91,0.04
Wario Land 4,0.9,0.73,0.54,0.09
Guitar Hero III: Legends of Rock,1.4,0.54,0.02,0.3
Call of Duty 3,1.19,0.84,0,0.23
Resident Evil 4,1.34,0.57,0.14,0.21
Minecraft,0.28,0.79,0.87,0.32
Onimusha 2: Samurai's Destiny,0.62,0.44,1.06,0.13
Cool Boarders 2,1.52,0.46,0.2,0.08
Paper Mario: The Thousand-Year Door,1.48,0.25,0.46,0.06
Madden NFL 12,1.93,0.15,0,0.17
Monster Hunter Tri,0.67,0.41,1.05,0.11
Dissidia: Final Fantasy,0.51,0.51,0.91,0.32
Sonic Advance,1.19,0.71,0.22,0.13
Spyro: Season of Ice,1.29,0.83,0,0.11
Teenage Mutant Ninja Turtles II: The Arcade Game,1.74,0.25,0.21,0.03
LEGO Indiana Jones: The Original Adventures,1.42,0.61,0,0.21
Dance Dance Revolution X2,1.09,0.85,0,0.28
New Super Luigi U,1.27,0.62,0.18,0.16
Prince of Persia: The Sands of Time,0.88,1.03,0,0.31
Scribblenauts,1.71,0.32,0.02,0.18
The Legend of Zelda: Link's Awakening DX,1,0.63,0.45,0.13
Need for Speed: Hot Pursuit,1.03,0.98,0,0.21
BioShock 2,1.45,0.55,0.02,0.19
Assassin's Creed IV: Black Flag,1.47,0.55,0,0.19
Devil May Cry 3: Dante's Awakening Special Edition,1.06,0.82,0.05,0.28
Rock Band 2,1.78,0.24,0,0.18
Frogger,2.06,0.12,0,0.02
Guitar Hero II,2.01,0.02,0,0.17
Wario Land 3,1.11,0.51,0.34,0.23
Pro Yakyuu Family Stadium,0.15,0,2.05,0
Sonic Unleashed,1.28,0.68,0.02,0.21
High School Musical: Makin' the Cut!,1.06,0.91,0,0.23
Pro Evolution Soccer 2012,0.34,0.97,0.55,0.33
Saints Row,1.17,0.78,0.02,0.22
Star Wars: Knights of the Old Republic,1.68,0.44,0,0.08
Kirby's Pinball Land,0.87,0.17,1.1,0.05
Donkey Kong Country,1.04,0.72,0.3,0.13
Hitman: Absolution,0.59,1.07,0.07,0.45
Yu-Gi-Oh: Duel Monsters 4,0,0,2.17,0.01
ATV Offroad Fury 2,1.92,0.2,0,0.06
Forza Motorsport 5,1.21,0.78,0.01,0.17
Madden NFL 25,1.97,0.07,0,0.13
Pokemon Ranger,1.29,0.04,0.73,0.12
Mario & Luigi: Superstar Saga,1.48,0.17,0.47,0.06
Final Fantasy XIII,1.27,0.68,0.01,0.2
Star Wars: Rogue Squadron,1.6,0.46,0.08,0.03
Tennis,0.48,0.11,1.56,0.02
The Sims: House Party,1.23,0.83,0,0.1
Your Shape featuring Jenny McCarthy,1.51,0.47,0,0.18
Syphon Filter 2,1.5,0.55,0.02,0.08
Tom Clancy's Rainbow Six: Siege,0.54,1.16,0.13,0.32
Volleyball,0.14,0.03,1.98,0
FIFA 15,0.6,1.41,0,0.14
Call of Duty: Roads to Victory,0.52,1.03,0,0.59
Super Mario RPG: Legend of the Seven Stars,0.66,0,1.45,0.03
Mahjong,0.01,0,2.13,0
R.C. Pro-Am,1.47,0.38,0.19,0.1
SimCity 2000,1.2,0.84,0,0.1
Demon Attack,1.99,0.12,0,0.02
Dance Dance Revolution Extreme,1.04,0.81,0,0.27
Tetris DS,0.64,0.07,1.35,0.08
Final Fantasy Tactics Advance,0.82,0.37,0.89,0.05
Far Cry: Primal,0.59,1.16,0.06,0.33
Toy Story 3: The Video Game,0.93,0.97,0.02,0.21
Final Fantasy III,0.91,0.05,1.07,0.09
Kirby's Epic Yarn,1.47,0.09,0.45,0.11
Project Gotham Racing,1.37,0.61,0.05,0.09
Golf,0.83,0.33,0.92,0.04
NBA 2K12,1.61,0.27,0.05,0.18
Borderlands,1.2,0.62,0,0.29
Tony Hawk's Pro Skater,1.68,0.4,0,0.03
PES 2009: Pro Evolution Soccer,0.11,1.34,0.4,0.26
Need for Speed: Hot Pursuit 2,1.68,0.31,0.02,0.09
Mario Sports Mix,0.9,0.45,0.63,0.13
Rock Band,1.35,0.56,0,0.2
Dynasty Warriors 4,0.63,0.21,1.13,0.13
Mortal Kombat,1.63,0.33,0,0.15
Parasite Eve,0.94,0.07,1.05,0.04
Scooby-Doo! Night of 100 Frights,1.17,0.72,0,0.22
Project Gotham Racing (JP weekly sales),1.54,0.44,0.04,0.07
Need for Speed: Most Wanted 5-1-0,1.77,0.13,0.02,0.18
Portal 2,1.41,0.51,0.01,0.17
Devil May Cry 3: Dante's Awakening,0.99,0.63,0.29,0.19
Derby Stallion,0,0,1.96,0.14
Dead Rising,1.16,0.65,0.08,0.2
Finding Nemo,1.26,0.6,0.05,0.18
NBA 2K11,1.84,0.12,0.01,0.13
Wipeout: The Game,1.97,0,0,0.12
The Sims 2: Pets,0.92,0.94,0,0.22
Battlefield: Hardline,0.7,0.93,0.14,0.32
Metal Gear Solid: Peace Walker,0.46,0.42,0.96,0.25
World of Warcraft: Cataclysm,1.77,0.32,0,0
Tetris Worlds,1.11,0.71,0,0.27
Need For Speed: Undercover,0.63,1.02,0.05,0.39
Dance Dance Revolution: Hottest Party,1.36,0.52,0,0.2
Mario Party 5,0.97,0.33,0.73,0.06
Ghostbusters: The Video Game (DS Version),0.59,0.99,0.13,0.36
Sim Theme Park,2.04,0.04,0,0
Warcraft: Orcs & Humans,0.89,1.08,0,0.11
Skate 3,0.79,0.94,0,0.35
Spec Ops: Airborne Commando,1.54,0.46,0,0.08
Kingdom Hearts: Birth by Sleep,0.63,0.42,0.75,0.26
UFC 2009 Undisputed,1.48,0.39,0,0.19
Dark Souls,0.75,0.54,0.54,0.23
Yu-Gi-Oh! The Eternal Duelist Soul,1.64,0.36,0,0.07
Need for Speed: ProStreet,1.04,0.8,0.01,0.22
The Sims 3,0.73,0.97,0.02,0.34
Tom Clancy's Splinter Cell: Conviction,1.2,0.63,0.04,0.19
Pokemon Mystery Dungeon: Red/Blue Rescue Team,0.71,0.52,0.74,0.08
The Incredibles,1.15,0.77,0.04,0.1
R4: Ridge Racer Type 4,0.68,0.46,0.79,0.13
SoulCalibur II,1.06,0.62,0.13,0.25
Mario & Luigi: Dream Team,0.89,0.57,0.46,0.13
Need for Speed: ProStreet,0.73,0.92,0.04,0.37
Carnival Games,1.23,0.64,0,0.19
NBA 2K14,1.43,0.33,0.04,0.25
Pokémon Mystery Dungeon: Blue Rescue Team,1.16,0.06,0.83,0
Sonic Mega Collection,1.47,0.48,0.05,0.06
Diablo III,0.71,0.83,0.15,0.35
NBA Jam,1.75,0.25,0,0.05
PGR4 - Project Gotham Racing 4,0.48,1.29,0.02,0.25
Kingdom Hearts 358/2 Days,1.11,0.27,0.53,0.14
Dance Central 2,1.45,0.42,0.01,0.16
Rayman Raving Rabbids: TV Party,0.73,1.09,0,0.23
SOCOM: U.S. Navy SEALs: Combined Assault,1.74,0.02,0,0.28
Peter Jackson's King Kong: The Official Game of the Movie,0.71,1.02,0,0.31
Donkey Kong Country,1.2,0.48,0.29,0.07
Need for Speed: The Run,0.58,1.06,0.03,0.37
Madden NFL 15,1.53,0.25,0,0.25
1080°: TenEighty Snowboarding,1.25,0.61,0.13,0.05
Just Dance 3,1.47,0.4,0,0.16
NBA Live 2004,1.57,0.18,0,0.27
Dead Space,1.05,0.67,0,0.3
Call of Duty 2,1.81,0.05,0.01,0.15
Madden NFL 15,1.76,0.09,0,0.17
Forza Horizon,0.82,0.98,0.04,0.18
TouchMaster,0.49,1.27,0,0.25
Tom Clancy's The Division,1.2,0.62,0,0.18
LEGO Marvel Super Heroes,0.77,0.85,0.01,0.37
Fire Emblem: Awakening,0.89,0.45,0.53,0.13
DriveClub,0.35,1.31,0.02,0.33
Super Street Fighter II,0.52,0.16,1.29,0.03
Mortal Kombat vs. DC Universe,1.48,0.3,0,0.22
Tenchu: Stealth Assassins,0.95,0.64,0.27,0.13
Tennis,0.75,0.3,0.9,0.04
Harry Potter and the Chamber of Secrets,1.21,0.64,0.05,0.09
Harry Potter and the Chamber of Secrets,0.75,1.09,0.02,0.12
SimCity,0.93,0.27,0.75,0.04
Battlefield 4,1.25,0.58,0,0.16
Resident Evil 6,1.11,0.63,0.07,0.16
Dragon Age: Inquisition,0.72,0.86,0.08,0.32
Sonic Classic Collection,0.99,0.8,0,0.18
Spyro: Enter the Dragonfly,0.74,0.95,0,0.28
Call of Duty: World at War,1.2,0.59,0,0.19
Devil May Cry 2,0.71,0.58,0.51,0.17
Burnout Paradise,1.01,0.64,0.02,0.3
E.T.: The Extra Terrestrial,1.84,0.11,0,0.02
BioShock Infinite,1.22,0.57,0.02,0.15
Hot Shots Golf: Open Tee,0.5,0.5,0.63,0.33
Rad Racer,1.13,0.37,0.41,0.05
Soccer,0.18,0.23,1.53,0.02
Kirby Squeak Squad,0.79,0.03,1.05,0.08
Tom Clancy's Rainbow Six: Vegas,1.09,0.65,0.02,0.2
Destiny,1.3,0.49,0,0.16
Crash Nitro Kart,0.74,1.01,0,0.2
Grand Theft Auto: San Andreas,1.26,0.61,0,0.09
Star Wars: Dark Forces,1.09,0.77,0,0.09
NBA Street Vol. 2,1.69,0.2,0,0.06
Def Jam Vendetta,0.95,0.74,0,0.25
FIFA Soccer 09,0.49,1.26,0.01,0.18
Who wants to be a millionaire,1.94,0,0,0
Scooby Doo and the Cyber Chase,0.59,1.23,0,0.13
Alleyway,0.96,0.38,0.55,0.05
Dragon Ball Z: Budokai 3,1.09,0.15,0.65,0.04
Jet Moto 2,1.41,0.42,0.03,0.07
Tom Clancy's Ghost Recon,1.42,0.4,0,0.12
X-Men Legends,1,0.72,0,0.21
Batman: Arkham Origins,1.15,0.61,0,0.17
Guitar Hero: World Tour,1.1,0.56,0,0.27
Mortal Kombat II,1.48,0.39,0,0.06
Virtua Fighter 2,0.34,0.26,1.3,0.03
Tetris DX,1.06,0.6,0.2,0.07
Mortal Kombat vs. DC Universe,1.53,0.24,0,0.16
Watch Dogs,0.56,0.89,0.1,0.37
Mario Super Sluggers,1.51,0,0.29,0.12
Tomb Raider (2013),0.86,0.87,0.01,0.17
The Legend of Zelda: Oracle of Ages,0.92,0.53,0.41,0.06
Need for Speed: Shift,0.73,0.97,0.01,0.22
Monopoly,0.87,0.85,0,0.2
Red Faction,0.76,0.96,0,0.2
The Sims: Makin' Magic,1.03,0.8,0,0.09
MX Unleashed,0.94,0.73,0,0.25
PaRappa The Rapper,0.26,0.16,1.46,0.03
Toy Story Mania!,1.06,0.67,0,0.18
Mario Party 3,0.72,0.16,1.01,0.02
Star Wars: The Force Unleashed,1.14,0.57,0,0.19
Game Party 2,1.3,0.44,0,0.17
Destiny: The Taken King,0.77,0.78,0.04,0.31
LEGO Star Wars III: The Clone Wars,1.08,0.66,0,0.17
Star Wars Rogue Leader: Rogue Squadron II,1.03,0.75,0.03,0.09
Max Payne 3,0.59,0.92,0.06,0.32
Need for Speed Rivals,0.73,0.91,0.03,0.22
Madden NFL 09,1.56,0.15,0,0.18
Yokai Watch,0.21,0.3,1.33,0.04
Ratchet & Clank Future: A Crack in Time,1.05,0.54,0.03,0.26
Yu-Gi-Oh! Forbidden Memories,1.37,0.44,0,0.08
Mortal Kombat: Deception,0.92,0.72,0,0.24
Hot Shots Golf 2,0.25,0.12,1.48,0.03
Medal of Honor: European Assault (All Region sales),0.89,0.69,0.09,0.21
WCW Nitro,1.42,0.36,0.03,0.07
High School Musical: Sing It!,0.47,0.08,0,1.33
Star Fox Adventures,0.96,0.53,0.3,0.09
FIFA 2000,0.22,1.47,0.04,0.14
Dynasty Warriors 3,0.53,0.16,1.07,0.1
Donkey Kong Country Returns,0.73,0.62,0.4,0.12
The Legend of Zelda: Oracle of Seasons,0.87,0.52,0.41,0.06
Madden NFL 06,1.75,0.03,0,0.08
Shrek 2,1.12,0.69,0.03,0.02
The Legend of Dragoon,0.94,0.44,0.39,0.1
Turok 2: Seeds of Evil,1.37,0.41,0.04,0.04
SingStar,0,1.37,0,0.49
LittleBigPlanet 3,0.64,0.92,0.01,0.29
NBA Live 2002,0.91,0.71,0,0.24
Phineas and Ferb,1.34,0.37,0,0.15
Chrono Cross,0.62,0.42,0.69,0.12
GoldenEye 007 (2010),0.85,0.71,0.13,0.16
Mario Party: Island Tour,0.61,0.59,0.55,0.11
Jak 3,1.33,0.49,0,0.03
Rayman Raving Rabbids 2,0.83,0.82,0,0.2
Kingdom Hearts: Chain of Memories,1.26,0.18,0.35,0.06
Pinball,0.8,0.19,0.83,0.03
inFAMOUS 2,1.05,0.49,0.08,0.23
Gran Turismo Concept 2001 Tokyo,0,1.1,0.42,0.33
Demon's Souls,0.97,0.34,0.35,0.18
NCAA Football 06,1.53,0.05,0,0.25
"Hey You, Pikachu!",0.83,0.06,0.93,0
2 Games in 1: Sonic Advance & ChuChu Rocket!,1.31,0.49,0,0.03
World of Warcraft: Mists of Pandaria,0.84,0.76,0,0.23
Jet Moto,1.33,0.4,0.03,0.07
Just Cause 3,0.46,1.02,0.07,0.28
Secret of Mana,0.25,0.07,1.49,0.02
The Orange Box,1.09,0.54,0.02,0.17
Air Combat,0.92,0.33,0.52,0.05
Kirby: Triple Deluxe,0.61,0.34,0.79,0.09
Sonic & Knuckles,1.24,0.43,0.03,0.12
Namco Museum,1.73,0.07,0,0.02
The Sims: Hot Date,1.81,0,0,0
Metroid Prime 3: Corruption,0.91,0.74,0.07,0.09
Dragon Quest VI: Realms of Revelation,0.22,0.21,1.35,0.03
The Evil Within,0.55,0.84,0.11,0.31
DDRMAX2: Dance Dance Revolution,1.05,0.59,0,0.18
Crazy Taxi,1.1,0.51,0.12,0.08
Virtua Fighter 4,0.78,0.44,0.56,0.04
Sly 2: Band of Thieves,0.88,0.69,0,0.23
Guitar Hero: World Tour,1,0.03,0,0.77
Sonic Advance 2,0.93,0.59,0.21,0.07
Madden NFL 07,1.66,0,0.01,0.13
NBA 2K11,1.41,0.21,0.03,0.16
NFL GameDay 2000,1,0.68,0,0.12
Call of Duty: Black Ops 3,0.49,0.96,0.07,0.27
Disney's The Lion King,1.26,0.39,0.08,0.06
Beyond: Two Souls,0.52,0.88,0.06,0.34
Kinect Star Wars,1.05,0.57,0.03,0.14
Midnight Club II,1.25,0.29,0,0.24
Dragon Quest Monsters: Joker,0.23,0.03,1.49,0.03
SpongeBob SquarePants: SuperSponge,1.12,0.58,0,0.08
The Getaway: Black Monday,0.39,1.01,0.02,0.36
Professor Layton and the Mask of Miracle,0.32,0.95,0.36,0.14
Just Cause 2,0.45,0.94,0.06,0.33
Dragon's Dogma,0.41,0.46,0.72,0.19
The Legend of Zelda: The Wind Waker,0.93,0.57,0.14,0.13
50 Cent: Bulletproof,0.85,0.76,0,0.16
High School Musical: Sing It!,1.16,0.45,0,0.16
Wii Party U,0.31,0.54,0.84,0.08
Madden NFL 25,1.59,0.03,0,0.15
Final Fantasy II,0.24,0.09,1.33,0.12
Kirby 64: The Crystal Shards,0.63,0.06,1.03,0.04
Dead or Alive 3,1.19,0.29,0.24,0.06
UFC 2009 Undisputed,1.07,0.45,0.01,0.24
Metroid II: Return of Samus,0.85,0.31,0.56,0.04
WWF Attitude,1.27,0.42,0,0.07
The SpongeBob SquarePants Movie,1.06,0.54,0,0.16
Golden Sun,0.93,0.38,0.4,0.06
Sonic the Hedgehog 3,1.02,0.47,0.2,0.07
Kid Icarus,0.53,0.12,1.09,0.02
Def Jam: Fight for NY,0.86,0.67,0,0.22
Tom Clancy's Ghost Recon,1.23,0.46,0,0.07
State of Emergency,0.86,0.67,0,0.22
BioShock Infinite,0.72,0.69,0.04,0.31
Hitman: Absolution,0.68,0.9,0.01,0.17
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,1.26,0.47,0,0.03
Call of Duty: Black Ops 3,1.11,0.48,0,0.16
The Urbz: Sims in the City,0.52,0.95,0,0.29
FIFA Soccer 08,0.35,1.07,0.02,0.32
Star Wars: Starfighter,0.61,0.87,0.02,0.26
Madden NFL 2000,1.68,0.04,0,0.04
Kingdom Hearts,0.9,0.37,0.25,0.24
Star Wars: Battlefront,1.24,0.45,0,0.07
Pro Evolution Soccer,0.06,0.9,0.53,0.27
Crackdown,1,0.54,0.03,0.18
Yoshi,0.7,0.13,0.91,0.01
Disney's Aladdin,0.94,0.34,0.21,0.27
Kirby's Adventure,0.79,0.14,0.8,0.02
Cooking Mama 3: Shop & Chop,0.83,0.66,0.08,0.18
Dance Dance Revolution X,0.85,0.66,0.01,0.22
2 Games in 1: Disney Princess & The Lion King,1.25,0.46,0,0.03
Star Wars Episode I: The Phantom Menace,0.72,0.89,0.04,0.1
Xenosaga Episode I: Der Wille zur Macht,0.63,0.49,0.45,0.17
Portal 2,0.83,0.63,0.02,0.25
The Beatles: Rock Band,1.19,0.4,0,0.16
Forza Motorsport 6,0.69,0.89,0.03,0.14
Sonic Colors,0.96,0.61,0.01,0.16
Cruis'n USA,1.69,0.04,0,0.01
Madden NFL 99,1.66,0.04,0,0.04
